FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat
1,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,2405:200:1630:1400::b854:b041,60117,443,TCP,0.06022906303405762,1,1,75,86,75.0,0.0,75,75,86.0,0.0,86,86,0.06022906303405762,0.0,0.06022906303405762,0.06022906303405762,0,0,0,0,0,0,0,0,0.0,0.0,161,2,2673.1280861692903,33.206560076637146,1.0,0.872093023255814,75.0,75.0,75.0,75.0,86.0,86.0,86.0,86.0,0.06022906303405762,0.06022906303405762,0.06022906303405762,0.06022906303405762,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.06022906303405762,0.06022906303405762,0.06022906303405762,0.0,0,0,0,0,Other,Web
2,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,2405:200:1630:1400::b854:b033,60124,443,TCP,0.027785062789916992,1,1,75,86,75.0,0.0,75,75,86.0,0.0,86,86,0.027785062789916992,0.0,0.027785062789916992,0.027785062789916992,0,0,0,0,0,0,0,0,0.0,0.0,161,2,5794.480337054548,71.98112219943538,1.0,0.872093023255814,75.0,75.0,75.0,75.0,86.0,86.0,86.0,86.0,0.027785062789916992,0.027785062789916992,0.027785062789916992,0.027785062789916992,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.027785062789916992,0.027785062789916992,0.027785062789916992,0.0,0,0,0,0,Other,Web
3,2404:6800:4007:82e::200a,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,443,64868,UDP,25.27148699760437,22,22,2020,2010,91.81818181818181,15.236428726265828,87,140,91.36363636363636,1.1499191491521379,91,95,0.5877089999442877,1.4228014067810075,0.008322000503540039,6.578682899475098,1.2034041427430653,1.8640999563178287,0.24413800239562988,6.578682899475098,1.2009262925102597,1.8753209159401123,0.1918048858642578,6.631675958633423,25.27148699760437,25.219452142715454,4030,44,159.46825766058114,1.741092639470365,1.0,1.0049751243781095,87.0,87.0,87.0,87.0,91.0,91.0,91.0,91.0,0.04509294033050537,0.07275986671447754,0.20984792709350586,1.4436470508575474,0.25650882720947266,0.2633960247039795,0.8549058437347412,3.2512428760528564,0.2499711513519287,0.2666759490966797,0.8660120964050293,3.245074987411499,0,0,0,0,0,0,0,0,0,0,0,0,0.03547096252441406,0.9790649811426798,2.8798840045928955,1.3275462190296523,1.6019840240478516,3.8794194221496583,6.578682899475098,2.211610340957561,Web,Other
4,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,64:ff9b::81e3:d5f3,60132,443,TCP,0.0,1,0,75,0,75.0,0.0,75,75,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,75,1,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Web
5,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,64:ff9b::81e3:d5f3,60129,443,TCP,0.06777095794677734,1,1,75,86,75.0,0.0,75,75,86.0,0.0,86,86,0.06777095794677734,0.0,0.06777095794677734,0.06777095794677734,0,0,0,0,0,0,0,0,0.0,0.0,161,2,2375.6488749419527,29.51116614834724,1.0,0.872093023255814,75.0,75.0,75.0,75.0,86.0,86.0,86.0,86.0,0.06777095794677734,0.06777095794677734,0.06777095794677734,0.06777095794677734,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.06777095794677734,0.06777095794677734,0.06777095794677734,0.0,0,0,0,0,Other,Web
6,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,64:ff9b::23d5:75a,57702,443,TCP,21.22823691368103,3,2,223,160,74.33333333333333,0.4714045207910317,74,75,80.0,6.0,74,86,5.307059228420258,8.986286146321008,0.0002799034118652344,20.87125301361084,10.614118456840515,10.440183520317078,0.1739349365234375,21.054301977157593,21.044908046722412,0.0,21.044908046722412,21.044908046722412,21.22823691368103,21.044908046722412,383,5,18.042007047375975,0.2355353400440728,1.5,1.39375,74.0,74.0,74.5,74.8,77.0,80.0,83.0,84.8,0.1303112506866455,0.1783519983291626,5.355099976062775,14.664791798591619,5.394026696681976,10.614118456840515,15.834210216999054,18.966265273094177,21.044908046722412,21.044908046722412,21.044908046722412,21.044908046722412,0,1,0,0,3,0,0,1,0,0,2,0,0.1739349365234375,0.17849195003509521,0.18304896354675293,0.004557013511657715,20.87125301361084,20.87125301361084,20.87125301361084,0.0,Other,Web
7,64:ff9b::3498:8fcf,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,443,54093,TCP,6.820285797119141,3,2,253,148,84.33333333333333,14.613540144521982,74,105,74.0,0.0,74,74,1.7050714492797852,2.7775860210721155,0.0,6.51102614402771,3.4101428985595703,3.4101428985595703,0.0,6.820285797119141,6.51102614402771,0.0,6.51102614402771,6.51102614402771,6.820285797119141,6.51102614402771,401,5,58.79519010323302,0.7331071085191149,1.5,1.7094594594594594,74.0,74.0,89.5,98.8,74.0,74.0,74.0,74.0,0.00011157989501953125,0.15462982654571533,1.859589695930481,4.65045156478882,1.7050714492797852,3.4101428985595703,5.1152143478393555,6.138257217407227,6.51102614402771,6.51102614402771,6.51102614402771,6.51102614402771,0,1,0,1,3,0,0,1,0,0,2,0,0.000148773193359375,0.15462982654571533,0.3091108798980713,0.15448105335235596,6.51102614402771,6.51102614402771,6.51102614402771,0.0,Web,Other
8,64:ff9b::3498:8fcf,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,443,51787,TCP,6.391613960266113,2,3,179,222,89.5,15.5,74,105,74.0,0.0,74,74,1.5979034900665283,2.767572670724203,0.0,6.391479969024658,0.0,0.0,0.0,0.0,3.1957584619522095,3.1957215070724487,3.695487976074219e-05,6.391479969024658,0.0,6.391516923904419,401,5,62.73845737443512,0.7822750296064229,0.6666666666666666,0.8063063063063063,81.75,89.5,97.25,101.9,74.0,74.0,74.0,74.0,2.771615982055664e-05,6.699562072753906e-05,1.5979427695274353,4.47406508922577,0.0,0.0,0.0,0.0,1.597897708415985,3.1957584619522095,4.793619215488434,5.7523356676101685,0,1,0,1,2,0,0,1,1,0,3,0,3.695487976074219e-05,6.699562072753906e-05,9.703636169433594e-05,3.0040740966796875e-05,6.391479969024658,6.391479969024658,6.391479969024658,0.0,Web,Other
9,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,2620:1ec:33::10,60120,443,TCP,0.049565792083740234,1,1,75,86,75.0,0.0,75,75,86.0,0.0,86,86,0.049565792083740234,0.0,0.049565792083740234,0.049565792083740234,0,0,0,0,0,0,0,0,0.0,0.0,161,2,3248.2079521294504,40.350409343222985,1.0,0.872093023255814,75.0,75.0,75.0,75.0,86.0,86.0,86.0,86.0,0.049565792083740234,0.049565792083740234,0.049565792083740234,0.049565792083740234,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.049565792083740234,0.049565792083740234,0.049565792083740234,0.0,0,0,0,0,Other,Web
10,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,2404:6800:4002:813::2004,49894,443,UDP,24.489264011383057,225,402,44441,306941,197.51555555555555,262.6365143062053,91,1292,763.5348258706467,570.6332608943331,83,1292,0.03912023005013268,0.16993462713591356,0.0,3.20123291015625,0.10893713363579341,0.2919236360641903,2.9087066650390625e-05,3.2901620864868164,0.06087639682608055,0.22705685123428163,0.0,3.288578987121582,24.401917934417725,24.4114351272583,351382,627,14348.409974128714,25.60305608647769,0.5597014925373134,0.14478678312770207,91.0,94.0,100.0,405.7999999999999,89.25,1286.0,1292.0,1292.0,0.0,0.0021854639053344727,0.022806942462921143,0.0866011381149292,0.004716932773590088,0.023314356803894043,0.0830003023147583,0.29036118984222414,0.0,0.0005490779876708984,0.026326894760131836,0.13522100448608398,0,0,0,0,0,0,0,0,0,0,0,0,0.08734607696533203,4.6021652817726135,17.668869018554688,7.5465608102885575,1.2717351913452148,2.026867628097534,3.20123291015625,0.8416481828975096,Other,Web
