FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat,URLs
1,2404:6800:4007:802::2005,2409:40f3:c:d46b:59f7:c83e:8106:f1cc,443,60998,TCP,252.89393496513367,997,870,2606432,228068,2614.2748244734203,2037.3875627727084,74,19594,262.1471264367816,440.29855749607214,74,1374,0.1355272963371563,2.355527082699932,0.0,45.00936794281006,0.2539094176637121,3.2224553152633804,0.0,45.06977891921997,0.2910170736192148,3.451007307691064,0.0,45.21374201774597,252.89377999305725,252.89383697509766,2834500,1867,11208.256142602988,7.382541618712217,1.145977011494253,11.428310854657383,679.0,3734.0,3734.0,3734.0,74.0,74.0,74.0,1374.0,5.1021575927734375e-05,0.00010943412780761719,0.00044465065002441406,0.0013564825057983398,0.0003617405891418457,0.0004885196685791016,0.0005729794502258301,0.004902482032775879,0.0004000663757324219,0.0004930496215820312,0.0006098747253417969,0.0049664974212646935,0,1,0,400,997,0,0,1,0,60,870,0,0.030224084854125977,0.811689019203186,6.043520212173462,1.9781122759718537,6.775507926940918,35.20006040164402,45.00936794281006,15.646894471560524,Web,Other,
2,2409:40f3:c:d46b:59f7:c83e:8106:f1cc,2404:6800:4007:801::200a,50505,443,UDP,102.26095700263977,69,66,6297,5997,91.26086956521739,0.9425862342903826,91,95,90.86363636363636,12.280665221884806,86,139,0.7631414701689535,1.6581892868766503,0.0,6.415049076080322,1.4998237350407768,2.124056543612837,0.1005549430847168,6.552249908447266,1.572282075881958,2.1498822660762857,0.0,6.610937833786011,101.98801398277283,102.19833493232727,12294,135,120.22183598069243,1.3201519324380575,1.0454545454545454,1.0500250125062531,91.0,91.0,91.0,91.0,87.0,88.0,89.0,90.0,0.058056771755218506,0.12315797805786133,0.2151174545288086,3.202675199508667,0.2621031403541565,0.30202555656433105,1.6670204997062683,5.690773510932923,0.26252102851867676,0.3828589916229248,1.664788007736206,5.6311849594116214,0,0,0,0,0,0,0,0,0,0,0,0,0.026768922805786133,0.8956497550010681,3.1977100372314453,1.2810173702796235,1.6003971099853516,4.439366415927284,6.415049076080322,1.8598209097247798,Other,Web,
3,2409:40f3:c:d46b:59f7:c83e:8106:f1cc,2606:4700:83b3:5a02:8cfe:576:26fb:7c33,49184,443,TCP,219.74307703971863,7,8,523,691,74.71428571428571,0.45175395145262565,74,75,86.375,11.26873440098754,74,113,15.695934074265617,21.034921017315142,0.0,45.00948190689087,36.61707019805908,16.510724561831815,0.00027108192443847656,45.16986107826233,31.36786869594029,19.922282810173883,0.0,45.11463689804077,219.7024211883545,219.57508087158203,1214,15,5.5246336601565345,0.06826153616338386,0.875,0.7568740955137482,74.5,75.0,75.0,75.0,83.0,86.0,86.0,94.1,0.03679060935974121,0.08181154727935791,43.56874883174896,45.001716423034665,40.75028556585312,45.05204999446869,45.096881210803986,45.138193011283875,19.65704643726349,45.036872148513794,45.054739475250244,45.08205456733704,0,1,0,0,7,0,0,1,0,1,8,0,0.03550219535827637,0.07611008485158284,0.16799616813659668,0.046973690748105305,39.27305197715759,43.85728330612183,45.00948190689087,2.292117890722121,Other,Web,
4,2404:6800:4007:804::2004,2409:40f3:c:d46b:59f7:c83e:8106:f1cc,443,58223,TCP,6.740483999252319,2,2,148,148,74.0,0.0,74,74,74.0,0.0,74,74,2.246827999750773,3.146517321011653,0.00010085105895996094,6.696604013442993,6.740483999252319,0.0,6.740483999252319,6.740483999252319,6.696604013442993,0.0,6.696604013442993,6.696604013442993,6.740483999252319,6.696604013442993,296,4,43.9137605004082,0.5934291959514622,1.0,1.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,0.021939992904663086,0.04377913475036621,3.3701915740966797,5.366039037704468,6.740483999252319,6.740483999252319,6.740483999252319,6.740483999252319,6.696604013442993,6.696604013442993,6.696604013442993,6.696604013442993,0,1,0,0,2,0,0,1,0,0,2,0,0.00010085105895996094,0.021939992904663086,0.04377913475036621,0.021839141845703125,6.696604013442993,6.696604013442993,6.696604013442993,0.0,Web,Other,
5,2409:40f3:c:d46b:59f7:c83e:8106:f1cc,2606:4700:9c63:5b03:45dd:578:26fb:7c33,53999,443,TCP,220.0607979297638,8,8,597,691,74.625,0.4841229182759271,74,75,86.375,11.26873440098754,74,113,14.670719861984253,20.68358652946747,0.0,45.003722190856934,31.430438143866404,19.87498655507121,0.0006170272827148438,45.12229800224304,31.425826140812465,19.859425861883935,0.0,45.12376093864441,220.01306700706482,219.98078298568726,1288,16,5.852927973164432,0.07270717979086251,1.0,0.8639652677279306,74.0,75.0,75.0,75.0,83.0,86.0,86.0,94.1,0.04944586753845215,0.08001494407653809,42.15252709388733,45.001547765731814,19.842666506767273,45.05488300323486,45.07496798038483,45.09805669784546,19.830499053001404,45.05074596405029,45.07263898849487,45.09534740447998,0,2,0,0,8,0,0,1,0,1,8,0,0.05116081237792969,0.12484876314798991,0.3555290699005127,0.10545665229254433,39.305469036102295,43.86234107017517,45.003722190856934,2.278436409415748,Other,Web,
6,2409:40f3:c:d46b:59f7:c83e:8106:f1cc,2606:4700:9c63:81e3:47dd:578:6810:23,50338,443,TCP,346.0219988822937,314,295,23637,25341,75.27707006369427,2.9208752856946023,74,105,85.90169491525424,1.779496360421624,74,105,0.5691151297406146,0.460370579706314,0.0,2.1446878910064697,1.1044072076535454,0.19289654145713317,0.00014400482177734375,2.1916959285736084,1.1767489658731993,0.3032249711325067,0.0,2.4171319007873535,345.6794559955597,345.9641959667206,48978,609,141.5459137228464,1.7600037048718498,1.064406779661017,0.9327571919024505,75.0,75.0,75.0,75.0,86.0,86.0,86.0,86.0,0.06477320194244385,0.9996339082717896,1.0069339871406555,1.0124481916427612,1.0536720752716064,1.068375825881958,1.1077890396118164,1.2521235942840576,1.0566948652267456,1.0750700235366821,1.131986677646637,1.4689327239990233,0,3,0,3,314,0,0,2,2,1,293,0,-229.41509890556335,0.14127332823617117,229.8466739654541,28.303485154371817,1.0000579357147217,1.0116624236106873,2.1446878910064697,0.0658144537502764,Other,Web,
7,2409:40f3:c:d46b:59f7:c83e:8106:f1cc,2405:200:1608:1731::b854:e862,58528,443,UDP,29.26736807823181,202,350,73877,305067,365.7277227722772,460.85174064465707,91,1292,871.62,659.9497609883433,83,1514,0.05311682046866027,0.3795756018953262,0.0,7.098752021789551,0.14560879640911348,0.6271540903052377,2.4080276489257812e-05,7.146430015563965,0.07543519506481794,0.46262592612857645,0.0,7.179970026016235,29.26736807823181,26.32688307762146,378944,552,12947.662358538046,18.860595818677698,0.5771428571428572,0.24216647490551255,94.0,98.0,379.0,1292.0,91.25,1217.0,1514.0,1514.0,0.0,0.00034308433532714844,0.012763500213623047,0.06697511672973633,0.00011014938354492188,0.013653039932250977,0.08187007904052734,0.169342041015625,0.0,0.0,0.014842987060546875,0.09282364845275877,0,0,0,0,0,0,0,0,0,0,0,0,0.19442296028137207,1.850446303685506,8.611352920532227,3.0397915783664002,1.4128952026367188,3.027448376019796,7.098752021789551,1.9656178116645804,Other,Web,
8,fe80::d212:55ff:fe1f:cc78,ff02::fb,5353,5353,UDP,613.2410700321198,30,0,17342,0,578.0666666666667,166.64331836457038,276,670,0.0,0.0,0,0,21.146243794211024,31.193606876077574,0.01174616813659668,148.49966096878052,21.146243794211024,31.193606876077574,0.01174616813659668,148.49966096878052,0,0,0,0,613.2410700321198,0.0,17342,30,28.27925402825952,0.04892040253994842,0.0,0.0,670.0,670.0,670.0,670.0,0.0,0.0,0.0,0.0,1.689497947692871,7.744771957397461,31.953095197677612,64.12118873596191,1.689497947692871,7.744771957397461,31.953095197677612,64.12118873596191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.053935486337412956,0.6195240020751953,0.15046012216785032,1.0238919258117676,26.608719732450403,148.49966096878052,32.903706942565385,Other,Other,
9,10.245.159.154,224.0.0.251,5353,5353,UDP,612.807226896286,33,0,19086,0,578.3636363636364,151.9636755204544,256,650,0.0,0.0,0,0,19.150225840508938,30.189115446974075,0.17372703552246094,148.7291510105133,19.150225840508938,30.189115446974075,0.17372703552246094,148.7291510105133,0,0,0,0,612.807226896286,0.0,19086,33,31.14519405501429,0.05385053986248934,0.0,0.0,650.0,650.0,650.0,650.0,0.0,0.0,0.0,0.0,1.2045505046844482,6.033169388771057,31.932029128074646,60.9944781541825,1.2045505046844482,6.033169388771057,31.932029128074646,60.9944781541825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07721873430105355,1.014552116394043,0.22453724623210244,1.023725986480713,23.49228999247918,148.7291510105133,31.955244343685262,Other,Other,
10,2409:40f3:c:d46b:59f7:c83e:8106:f1cc,2404:6800:4013:802::5e,61532,443,UDP,0.36618804931640625,10,12,3848,6661,384.8,469.0950436745202,93,1292,555.0833333333334,512.4882857739829,84,1292,0.017437526157924106,0.030553400311415114,0.0,0.10483813285827637,0.03349423408508301,0.04265237015774623,9.512901306152344e-05,0.10994410514831543,0.023710359226573597,0.03888082707799736,0.0,0.1010429859161377,0.30144810676574707,0.26081395149230957,10509,22,28698.369648103006,60.07842156801467,0.8333333333333334,0.5776910373817745,94.75,118.5,416.25,1292.0,86.5,268.5,1070.5,1291.6,0.0,0.0002620220184326172,0.025436878204345703,0.06473994255065918,0.00017881393432617188,0.0003440380096435547,0.0751180648803711,0.09395365715026856,0.0,0.0,0.0333554744720459,0.09306001663208008,0,0,0,0,0,0,0,0,0,0,0,0,0.36618804931640625,0.36618804931640625,0.36618804931640625,0.0,0,0,0,0,Other,Web,
