FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat,URLs
1,2404:6800:4007:808::2016,2401:4900:4c69:69c9:8c13:88b9:981d:8cdc,443,59572,UDP,0.32479405403137207,16,10,15447,1116,965.4375,511.96349586054475,90,1296,111.6,49.503939237196064,93,260,0.012991762161254883,0.02164357661792847,4.100799560546875e-05,0.08358502388000488,0.021652936935424805,0.028425070358883482,0.00011110305786132812,0.08417296409606934,0.025744199752807617,0.02084790386721241,0.00021195411682128906,0.07330107688903809,0.32479405403137207,0.23169779777526855,16563,26,50995.39167795285,80.0507265366645,1.6,13.841397849462366,611.0,1296.0,1296.0,1296.0,93.25,95.0,97.0,115.09999999999994,0.0002460479736328125,0.0008461475372314453,0.010654926300048828,0.032039785385131844,0.00020194053649902344,0.008948087692260742,0.03236556053161621,0.0667856216430664,0.0161130428314209,0.022313833236694336,0.03501296043395996,0.04449057579040528,0,0,0,0,0,0,0,0,0,0,0,0,0.32479405403137207,0.32479405403137207,0.32479405403137207,0.0,0,0,0,0,Web,Other,
2,192.168.196.220,142.250.205.142,60632,443,TCP,89.85849785804749,118,144,83452,29183,707.2203389830509,606.9895307447925,54,1372,202.65972222222223,363.6151079246212,54,1376,0.3442854324063122,2.211746669925905,0.0,21.764843940734863,0.767538170529227,3.2648506111328066,0.0,21.818704843521118,0.6276304254998694,3.001908516460987,0.0,21.945280075073242,89.80196595191956,89.75115084648132,112635,262,1253.470764422674,2.9156953014492886,0.8194444444444444,2.8596100469451393,66.0,730.0,1372.0,1372.0,54.0,58.0,97.0,445.9000000000011,0.0,0.00026798248291015625,0.02125692367553711,0.05676698684692383,0.0,0.0003371238708496094,0.052664995193481445,0.27015352249145524,0.00012552738189697266,0.005818843841552734,0.028226017951965332,0.05670099258422851,0,0,0,42,118,0,0,0,0,65,144,0,0.19458889961242676,0.7431294918060303,3.4721269607543945,1.0369348606099111,3.664184808731079,11.987637417657035,21.764843940734863,6.548390502052589,Other,Web,
3,192.168.196.220,192.168.196.89,56362,53,TCP,0.19240212440490723,7,6,424,395,60.57142857142857,11.146519544646377,54,86,65.83333333333333,21.090413830827398,54,112,0.016033510367075603,0.029988528059249443,0.0,0.1033320426940918,0.03206702073415121,0.061791398314770415,2.002716064453125e-05,0.1696009635925293,0.035033226013183594,0.039095474884713814,0.0,0.1033320426940918,0.19240212440490723,0.17516613006591797,819,13,4256.709755846705,67.56682152137627,1.1666666666666667,1.0734177215189873,54.0,54.0,61.0,74.0,54.0,54.5,63.25,89.0,0.00013703107833862305,0.0010805130004882812,0.015154898166656494,0.04833414554595949,0.0008632540702819824,0.0024825334548950195,0.013740062713623047,0.09348249435424805,0.0032150745391845703,0.015115976333618164,0.05350303649902344,0.08340044021606446,1,1,0,2,6,0,1,1,0,2,6,0,0.19240212440490723,0.19240212440490723,0.19240212440490723,0.0,0,0,0,0,Other,System,
4,192.168.196.220,192.168.196.89,61883,53,TCP,0.19225692749023438,7,6,424,398,60.57142857142857,11.146519544646377,54,86,66.33333333333333,22.186081723058315,54,115,0.0160214106241862,0.030362625804359344,0.0,0.10574197769165039,0.0320428212483724,0.06188190503052739,2.193450927734375e-05,0.16978716850280762,0.035033226013183594,0.03979406893064879,0.0,0.10574197769165039,0.19225692749023438,0.17516613006591797,822,13,4275.5286414412985,67.61784956050715,1.1666666666666667,1.065326633165829,54.0,54.0,61.0,74.0,54.0,54.5,63.25,90.5,0.00019675493240356445,0.0010794401168823242,0.015155792236328125,0.04625132083892823,0.0007741451263427734,0.0024514198303222656,0.013610303401947021,0.0935056209564209,0.0029680728912353516,0.015115976333618164,0.05134010314941406,0.08398122787475587,1,1,0,2,6,0,1,1,0,2,6,0,0.19225692749023438,0.19225692749023438,0.19225692749023438,0.0,0,0,0,0,Other,System,
5,192.168.196.220,192.168.196.89,51326,53,TCP,0.19310688972473145,7,6,424,386,60.57142857142857,11.146519544646377,54,86,64.33333333333333,17.82008853949821,54,103,0.016092240810394287,0.03044008501813003,0.0,0.10643315315246582,0.032184481620788574,0.06185411171777442,3.886222839355469e-05,0.16988301277160645,0.03523521423339844,0.04005685810882867,0.0,0.10643315315246582,0.19310688972473145,0.1761760711669922,810,13,4194.568102436079,67.32022880452966,1.1666666666666667,1.0984455958549222,54.0,54.0,61.0,74.0,54.0,54.5,63.25,84.5,0.00015217065811157227,0.0015190839767456055,0.015189528465270996,0.04563059806823731,0.0008747577667236328,0.0029250383377075195,0.013588964939117432,0.09350347518920898,0.0030050277709960938,0.015115976333618164,0.05162191390991211,0.08450865745544434,1,1,0,2,6,0,1,1,0,2,6,0,0.19310688972473145,0.19310688972473145,0.19310688972473145,0.0,0,0,0,0,Other,System,
6,192.168.196.220,192.168.196.89,58731,53,TCP,0.41391992568969727,7,6,437,408,62.42857142857143,15.47216064749978,54,99,68.0,25.852143689321654,54,125,0.034493327140808105,0.09628559282947223,0.0,0.35047388076782227,0.06898665428161621,0.15020985847329937,7.295608520507812e-05,0.40485501289367676,0.08228998184204102,0.13562023637514323,0.0,0.35047388076782227,0.41391992568969727,0.4114499092102051,845,13,2041.4576529313301,31.40704081432816,1.1666666666666667,1.071078431372549,54.0,54.0,61.0,79.20000000000002,54.0,54.5,63.25,95.5,0.00019973516464233398,0.0013730525970458984,0.0027530789375305176,0.04677410125732424,0.0008742809295654297,0.0026494264602661133,0.0032202601432800293,0.20409202575683594,0.003170013427734375,0.0033130645751953125,0.054492950439453125,0.23208150863647464,1,1,0,2,6,0,1,1,0,2,6,0,0.41391992568969727,0.41391992568969727,0.41391992568969727,0.0,0,0,0,0,Other,System,
7,192.168.196.220,192.168.196.89,55100,53,TCP,0.41361308097839355,7,6,437,411,62.42857142857143,15.47216064749978,54,99,68.5,26.955209762369375,54,128,0.03446775674819946,0.09578627588609628,7.200241088867188e-05,0.3487858772277832,0.06893551349639893,0.1496625349548505,7.200241088867188e-05,0.40357494354248047,0.08200178146362305,0.13496982926755444,0.0005750656127929688,0.3487858772277832,0.41361308097839355,0.41000890731811523,848,13,2050.2252926674196,31.43034057155242,1.1666666666666667,1.0632603406326033,54.0,54.0,61.0,79.20000000000002,54.0,54.5,63.25,97.0,0.0002403855323791504,0.0013664960861206055,0.0033750534057617188,0.04684979915618898,0.0007319450378417969,0.0029805898666381836,0.00376206636428833,0.20370399951934814,0.0025408267974853516,0.0029850006103515625,0.05512213706970215,0.2313203811645508,1,1,0,2,6,0,1,1,0,2,6,0,0.41361308097839355,0.41361308097839355,0.41361308097839355,0.0,0,0,0,0,Other,System,
8,192.168.196.220,192.168.196.89,53204,53,TCP,0.41298794746398926,7,6,437,399,62.42857142857143,15.47216064749978,54,99,66.5,22.55179224215524,54,116,0.03441566228866577,0.09543594757914568,8.106231689453125e-05,0.34751009941101074,0.06883132457733154,0.14907881515168922,0.00010991096496582031,0.40216493606567383,0.08177518844604492,0.13442376680397428,0.0003108978271484375,0.34751009941101074,0.41298794746398926,0.4088759422302246,836,13,2024.2721491839554,31.477916195444283,1.1666666666666667,1.0952380952380953,54.0,54.0,61.0,79.20000000000002,54.0,54.5,63.25,91.0,0.00026619434356689453,0.0013990402221679688,0.003181934356689453,0.04723982810974123,0.0009924769401550293,0.003110051155090332,0.003932297229766846,0.2031639814376831,0.002875089645385742,0.003393888473510742,0.054785966873168945,0.23042044639587406,1,1,0,2,6,0,1,1,0,2,6,0,0.41298794746398926,0.41298794746398926,0.41298794746398926,0.0,0,0,0,0,Other,System,
9,2401:4900:4c69:69c9:8c13:88b9:981d:8cdc,2404:6800:4007:82f::2004,59863,443,UDP,0.48641490936279297,13,13,6450,5723,496.15384615384613,535.2553446941643,93,1292,440.2307692307692,467.1672660170764,88,1296,0.01945659637451172,0.05184151403216693,0.0,0.2633390426635742,0.033980747063954674,0.08144518295846254,2.384185791015625e-05,0.2997159957885742,0.018257002035776775,0.026260836071761395,0.0,0.09028315544128418,0.40776896476745605,0.2190840244293213,12173,26,25025.959866128935,53.45230892297316,1.0,1.1270312773021143,97.0,140.0,1288.0,1292.0,90.0,160.0,872.0,1236.0000000000002,7.796287536621094e-05,0.0006339550018310547,0.01580500602722168,0.040101194381713876,0.00015598535537719727,0.0018324851989746094,0.01792198419570923,0.04525330066680908,5.84721565246582e-05,0.006029009819030762,0.022851407527923584,0.04526355266571045,0,0,0,0,0,0,0,0,0,0,0,0,0.48641490936279297,0.48641490936279297,0.48641490936279297,0.0,0,0,0,0,Other,Web,
10,2606:4700:83b1:d8b7:9afe:8fd:ccf5:ac50,2401:4900:4c69:69c9:8c13:88b9:981d:8cdc,443,63656,TCP,78.47138619422913,14,8,1253,749,89.5,13.911711407505344,78,119,93.625,16.124030978635584,74,119,3.7367326759156727,7.450544822913237,0.0,19.984283924102783,6.036260476479163,8.705772511330263,0.0,19.984283924102783,11.180484294891357,9.208954749767624,0.00025391578674316406,20.028674125671387,78.47138619422913,78.2633900642395,2002,22,25.51248419449011,0.280356969170221,1.75,1.6728971962616823,78.0,78.0,102.0,102.0,74.0,102.0,102.0,107.1,0.00031185150146484375,0.03726601600646973,0.20777511596679688,19.89326810836792,0.04408717155456543,0.10786700248718262,16.209683895111084,19.926506328582764,0.9973465204238892,16.266240119934082,19.986764430999756,20.01198320388794,0,2,0,6,14,0,0,1,0,5,8,0,0.03779006004333496,0.09131805102030437,0.20874404907226562,0.05828976606958244,1.901426076889038,15.58469557762146,19.984283924102783,6.992370072796119,Web,Other,
